id,name,lat,lon,road_address,jibun_address,category,source
private_40,센트에비뉴 민영 주차장,36.8191322431656,127.110088899664,충남 천안시 서북구 번영로 201,충남 천안시 서북구 불당동 1485,민영주차장,천안시/민영
private_41,아마노 천안골든프라자2 주차장,36.8182902981075,127.108956596403,충남 천안시 서북구 불당25로 192,충남 천안시 서북구 불당동 1487,민영주차장,천안시/민영
private_42,천안골든프라자2주차장,36.8182902981075,127.108956596403,충남 천안시 서북구 불당25로 192,충남 천안시 서북구 불당동 1487,민영주차장,천안시/민영
private_43,에이블타워2차 민영 주차장,36.8173065194698,127.108701907543,충남 천안시 서북구 불당25로 182,충남 천안시 서북구 불당동 1531,민영주차장,천안시/민영
private_44,천안율곡스퀘어 민영 주차장,36.8162380448409,127.109126844444,충남 천안시 서북구 불당25로 176,충남 천안시 서북구 불당동 1534,민영주차장,천안시/민영
private_45,마블러스에스타워 민영 주차장,36.8154373090387,127.10815088411,충남 천안시 서북구 불당22대로 86,충남 천안시 서북구 불당동 1535,민영주차장,천안시/민영
private_46,연세메디컬스퀘어 민영 주차장,36.8140496378693,127.108504425757,충남 천안시 서북구 불당21로 67-18,충남 천안시 서북구 불당동 1536-2,민영주차장,천안시/민영
private_47,퍼스트프라자 민영 주차장,,,,충남 천안시 서북구 불당동 1537-2,민영주차장,천안시/민영
private_48,선우프라자 민영 주차장,36.8134164283087,127.107511587103,충남 천안시 서북구 불당25로 138,충남 천안시 서북구 불당동 1539,민영주차장,천안시/민영
private_49,정석프라자3차 민영 주차장,36.8129631077627,127.108176205789,충남 천안시 서북구 불당21로 71,충남 천안시 서북구 불당동 1537-1,민영주차장,천안시/민영
private_50,리차드 민영 주차장,,,,충남 천안시 서북구 불당동 1615,민영주차장,천안시/민영
private_51,천안우리타워주차장,36.8124456173361,127.107859552064,충남 천안시 서북구 불당33길 26,충남 천안시 서북구 불당동 1617,민영주차장,천안시/민영
private_52,리앤시티상가주차장,36.8123896233722,127.108195683571,충남 천안시 서북구 불당33길 24,충남 천안시 서북구 불당동 1618,민영주차장,천안시/민영
private_53,불당고은빌딩 민영 주차장,36.8119560759099,127.1081221163,충남 천안시 서북구 불당33길 22,충남 천안시 서북구 불당동 1619,민영주차장,천안시/민영
private_54,서울대정병원 주차장,36.8115948341983,127.108008082548,충남 천안시 서북구 불당33길 18,충남 천안시 서북구 불당동 1620,민영주차장,천안시/민영
private_55,서울대정병원 민영 주차장,36.8115948341983,127.108008082548,충남 천안시 서북구 불당33길 18,충남 천안시 서북구 불당동 1620,민영주차장,천안시/민영
private_56,신영빌딩 민영 주차장,36.8114014262488,127.106743453137,충남 천안시 서북구 불당33길 40,충남 천안시 서북구 불당동 1630,민영주차장,천안시/민영
private_57,대광타워 민영 주차장,36.811150264788,127.106667458406,충남 천안시 서북구 불당33길 46,충남 천안시 서북구 불당동 1631,민영주차장,천안시/민영
private_58,리앤파크 민영 주차장,36.8110371485947,127.10739809723,충남 천안시 서북구 불당33길 9,충남 천안시 서북구 불당동 1637,민영주차장,천안시/민영
private_59,MK타워 민영 주차장,36.8109129811583,127.106590586869,충남 천안시 서북구 불당33길 48,충남 천안시 서북구 불당동 1632,민영주차장,천안시/민영
private_60,The앙즈로 민영 주차장,36.8104655116746,127.106967408939,충남 천안시 서북구 불당33길 1,충남 천안시 서북구 불당동 1640,민영주차장,천안시/민영
private_61,미래시티빌딩 민영 주차장,,,,충남 천안시 서북구 불당동 680,민영주차장,천안시/민영
private_62,신불당 주차장,36.8106443624865,127.101858053084,충남 천안시 서북구 불당29길 41,충남 천안시 서북구 불당동 1730,민영주차장,천안시/민영
private_63,천안 펜타포트1블럭 상가점 주차장,36.7998075136548,127.100682845536,충남 천안시 서북구 공원로 195,충남 천안시 서북구 불당동 1292,민영주차장,천안시/민영
private_64,펜타포트 쇼핑몰 민영 주차장,36.7984279064312,127.101429867826,충남 천안시 서북구 공원로 196,충남 천안시 서북구 불당동 1289,민영주차장,천안시/민영
private_65,충북상공회의소민영주차장,,,,충남 천안시 서북구 불당동 1420,민영주차장,천안시/민영
private_66,투루파킹 천안펜타포트1블럭점 주차장,36.7998075136548,127.100682845536,충남 천안시 서북구 공원로 195,충남 천안시 서북구 불당동 1292,민영주차장,천안시/민영
