id,name,lon,lat,road_address,jibun_address,url,category_name,group_code
21264691,광덕풍세파출소,127.111703530877,36.6988076227209,충남 천안시 동남구 광덕면 신흥리4길 46,충남 천안시 동남구 광덕면 신흥리 297-2,http://place.map.kakao.com/21264691,"사회,공공기관 > 행정기관 > 경찰서 > 파출소",PO3
1405101333,구성119안전센터,127.16534361705,36.7998688355407,충남 천안시 동남구 천안대로 580,충남 천안시 동남구 구성동 51-1,http://place.map.kakao.com/1405101333,"사회,공공기관 > 행정기관 > 소방서 > 119안전센터",PO3
21660372,군서보건진료소,127.163366223521,36.9006690757001,충남 천안시 서북구 직산읍 군서4길 2,충남 천안시 서북구 직산읍 군서리 96-17,http://place.map.kakao.com/21660372,"의료,건강 > 보건소 > 보건진료소",PO3
21268404,남산지구대,127.15392106934776,36.79875056750292,충남 천안시 동남구 충무로 437,충남 천안시 동남구 원성동 601-9,http://place.map.kakao.com/21268404,"사회,공공기관 > 행정기관 > 경찰서 > 지구대",PO3
8885810,남서울대학교 우편취급국,127.14364533081,36.9098136458764,충남 천안시 서북구 성환읍 대학로 91,충남 천안시 서북구 성환읍 매주리 21,http://place.map.kakao.com/8885810,"사회,공공기관 > 행정기관 > 과학기술정보통신부 > 우체국 > 우편취급국",PO3
1705910263,대전가정법원 천안지원,127.15458952545248,36.785684462458846,충남 천안시 동남구 청수14로 77,충남 천안시 동남구 청당동 476,http://place.map.kakao.com/1705910263,"사회,공공기관 > 사법기관 > 법원 > 가정법원",PO3
26883443,대전지방검찰청 천안지청,127.153001989136,36.7850926807986,충남 천안시 동남구 청수14로 67,충남 천안시 동남구 청당동 475,http://place.map.kakao.com/26883443,"사회,공공기관 > 행정기관 > 검찰청 > 지방검찰청",PO3
26883444,대전지방법원 천안지원,127.154585219795,36.7857718761331,충남 천안시 동남구 청수14로 77,충남 천안시 동남구 청당동 476,http://place.map.kakao.com/26883444,"사회,공공기관 > 사법기관 > 법원 > 지방법원",PO3
9782782,덕전보건진료소,127.224215564774,36.8183208602045,충남 천안시 동남구 목천읍 유왕골2길 10,충남 천안시 동남구 목천읍 덕전리 231,http://place.map.kakao.com/9782782,"의료,건강 > 보건소 > 보건진료소",PO3
1405140398,독립119안전센터,127.23060529210385,36.7765024915483,충남 천안시 동남구 목천읍 독립기념관로 1,충남 천안시 동남구 목천읍 남화리 230-1,http://place.map.kakao.com/1405140398,"사회,공공기관 > 행정기관 > 소방서 > 119안전센터",PO3
21659507,동남구보건소,127.151275875625,36.8074532910862,충남 천안시 동남구 버들로 34,충남 천안시 동남구 문화동 112-14,http://place.map.kakao.com/21659507,"의료,건강 > 보건소",PO3
814433669,동남구청,127.15167568011962,36.80675351986665,충남 천안시 동남구 옛시청길 39,충남 천안시 동남구 문화동 112-1,http://place.map.kakao.com/814433669,"사회,공공기관 > 지방행정기관 > 구청",PO3
23971631,동면119지역대,127.34413731676,36.7757830953301,충남 천안시 동남구 동면 동산1길 13,충남 천안시 동남구 동면 화계리 181-1,http://place.map.kakao.com/23971631,"사회,공공기관 > 행정기관 > 소방서 > 119지역대",PO3
7842169,동면보건지소,127.344321230498,36.7758294209864,충남 천안시 동남구 동면 동산1길 15-1,충남 천안시 동남구 동면 화계리 181-3,http://place.map.kakao.com/7842169,"의료,건강 > 보건소 > 보건지소",PO3
26119790,동면치안센터,127.346836353719,36.7771521556862,충남 천안시 동남구 동면 동산1길 39,충남 천안시 동남구 동면 동산리 560-1,http://place.map.kakao.com/26119790,"사회,공공기관 > 행정기관 > 경찰서 > 치안센터",PO3
8258787,동면행정복지센터 임시청사,127.34845209604863,36.77873429119016,충남 천안시 동남구 동면 동산1길 63,충남 천안시 동남구 동면 동산리 551-2,http://place.map.kakao.com/8258787,"사회,공공기관 > 지방행정기관 > 행정복지센터 > 면행정복지센터",PO3
17484895,동천안우체국,127.15544526869559,36.78393428469682,충남 천안시 동남구 청수5로 10,충남 천안시 동남구 청당동 549,http://place.map.kakao.com/17484895,"사회,공공기관 > 행정기관 > 과학기술정보통신부 > 우체국",PO3
1405038388,두정119안전센터,127.146267345981,36.8278354396007,충남 천안시 서북구 1공단2길 13,충남 천안시 서북구 성정동 1568,http://place.map.kakao.com/1405038388,"사회,공공기관 > 행정기관 > 소방서 > 119안전센터",PO3
9440356,두정지구대,127.131964584124,36.8331975432833,충남 천안시 서북구 오성9길 40,충남 천안시 서북구 두정동 707,http://place.map.kakao.com/9440356,"사회,공공기관 > 행정기관 > 경찰서 > 지구대",PO3
13539885,매성보건진료소,127.318461675598,36.8111456626698,충남 천안시 동남구 병천면 봉항로 586,충남 천안시 동남구 병천면 매성리 279-1,http://place.map.kakao.com/13539885,"의료,건강 > 보건소 > 보건진료소",PO3
795066374,목천보건지소,127.23479822669,36.7853549394024,충남 천안시 동남구 목천읍 서리1길 41-9,충남 천안시 동남구 목천읍 서리 95-2,http://place.map.kakao.com/795066374,"의료,건강 > 보건소 > 보건지소",PO3
20025784,목천북면파출소,127.2357244673386,36.78563876030573,충남 천안시 동남구 목천읍 서리1길 50,충남 천안시 동남구 목천읍 서리 105-2,http://place.map.kakao.com/20025784,"사회,공공기관 > 행정기관 > 경찰서 > 파출소",PO3
11280638,목천우체국,127.2354753082121,36.785491471267875,충남 천안시 동남구 목천읍 서리1길 49,충남 천안시 동남구 목천읍 서리 99-1,http://place.map.kakao.com/11280638,"사회,공공기관 > 행정기관 > 과학기술정보통신부 > 우체국",PO3
26011202,목천읍119지역대,127.238596915411,36.7820177680076,충남 천안시 동남구 목천읍 동평3길 157,충남 천안시 동남구 목천읍 동리 165-15,http://place.map.kakao.com/26011202,"사회,공공기관 > 행정기관 > 소방서 > 119지역대",PO3
